time,open,high,low,close,volume
2022/06/24-13:25,4379.59,4380.02,4368.03,4368.33,574147
2022/06/24-13:30,4368.25,4368.3,4364.94,4367.58,500319
2022/06/24-13:35,4367.85,4367.85,4360.64,4363.23,571210
2022/06/24-13:40,4363.73,4370.35,4363.19,4370.35,458165
2022/06/24-13:45,4370.31,4378.5,4369.3,4377.98,514987
2022/06/24-13:50,4378.11,4388.54,4378.09,4385.74,627437
2022/06/24-13:55,4385.57,4392.13,4385.5,4392.02,546649
2022/06/24-14:00,4392.24,4392.45,4384.79,4385.81,517951
2022/06/24-14:05,4385.74,4390.97,4385.74,4389.6,568086
2022/06/24-14:10,4389.52,4389.63,4387.05,4389.63,524964
2022/06/24-14:15,4389.46,4397.48,4389.36,4395.84,633131
2022/06/24-14:20,4396.06,4400.5,4395.29,4397.9,576635
2022/06/24-14:25,4397.77,4400.69,4397.47,4399.59,531957
2022/06/24-14:30,4399.61,4399.98,4395.04,4399.55,548625
2022/06/24-14:35,4399.86,4399.88,4387.61,4387.61,581958
2022/06/24-14:40,4387.36,4387.36,4381.71,4384.58,663701
2022/06/24-14:45,4385.21,4387.14,4385.08,4386.11,554554
2022/06/24-14:50,4386.06,4389.59,4385.64,4389.5,642922
2022/06/24-14:55,4389.43,4394.18,4388.9,4394.18,818905
2022/06/24-15:00,4393.95,4394.78,4393.13,4394.77,812481
2022/06/27-09:35,4414.33,4431.15,4414.33,4430.83,3151098
2022/06/27-09:40,4431.41,4444.28,4427.08,4439.76,2156790
2022/06/27-09:45,4439.37,4442.38,4432.32,4440.14,1763559
2022/06/27-09:50,4439.81,4439.86,4421.98,4427.89,1496373
2022/06/27-09:55,4428.09,4438.32,4426.37,4436.85,1218627
2022/06/27-10:00,4436.85,4442.25,4436.3,4436.8,1193993
2022/06/27-10:05,4437.07,4444.38,4436.66,4436.91,1210420
2022/06/27-10:10,4436.95,4436.95,4427.08,4432.53,1032756
2022/06/27-10:15,4432.95,4438.56,4429.75,4438.16,919526
2022/06/27-10:20,4438.37,4442.13,4436.0,4439.69,843566
2022/06/27-10:25,4440.16,4448.65,4439.84,4447.32,833769
2022/06/27-10:30,4447.47,4452.17,4444.96,4451.06,752591
2022/06/27-10:35,4451.23,4463.02,4451.23,4460.02,997490
2022/06/27-10:40,4460.23,4467.97,4460.23,4461.99,937194
2022/06/27-10:45,4462.35,4465.19,4462.17,4463.2,782959
2022/06/27-10:50,4463.0,4471.43,4462.8,4462.8,804255
2022/06/27-10:55,4462.58,4462.58,4459.4,4459.49,700690
2022/06/27-11:00,4459.45,4467.14,4458.9,4464.59,705233
2022/06/27-11:05,4464.34,4466.35,4459.92,4466.03,683696
2022/06/27-11:10,4465.91,4468.32,4465.53,4468.21,641236
2022/06/27-11:15,4468.53,4470.2,4466.73,4467.69,617935
2022/06/27-11:20,4467.88,4472.69,4466.1,4466.19,599004
2022/06/27-11:25,4466.17,4466.17,4456.74,4456.74,605538
2022/06/27-11:30,4456.9,4456.9,4448.98,4449.7,578066
2022/06/27-13:05,4449.69,4456.22,4449.15,4456.22,682429
2022/06/27-13:10,4455.98,4459.75,4455.74,4459.69,553132
2022/06/27-13:15,4459.7,4460.55,4450.48,4450.48,526565
2022/06/27-13:20,4450.23,4450.23,4436.64,4436.94,797129
2022/06/27-13:25,4436.93,4441.17,4435.9,4436.61,590354
2022/06/27-13:30,4436.65,4438.8,4429.75,4429.75,557020
2022/06/27-13:35,4429.73,4429.73,4423.87,4428.35,695413
2022/06/27-13:40,4428.53,4440.2,4428.18,4440.2,494416
2022/06/27-13:45,4440.32,4443.31,4440.32,4442.58,461080
2022/06/27-13:50,4442.51,4445.79,4442.51,4445.79,421310
2022/06/27-13:55,4445.75,4448.21,4445.41,4448.21,390447
2022/06/27-14:00,4448.5,4448.64,4444.58,4445.87,408606
2022/06/27-14:05,4445.93,4453.15,4445.4,4445.4,483046
2022/06/27-14:10,4445.41,4446.3,4440.32,4446.3,397971
2022/06/27-14:15,4446.34,4447.05,4444.33,4444.99,383504
2022/06/27-14:20,4445.64,4450.02,4445.64,4447.78,431334
2022/06/27-14:25,4447.89,4448.74,4445.27,4446.01,432450
2022/06/27-14:30,4445.86,4446.85,4445.2,4446.8,409009
